Sr. No,Title,Publish Date,Details
1,Agriculture Infrastructure Fund,12-06-2024,Download (341 KB)Link
2,PM-Kisan Samman Nidhi,28-12-2023,Link
3,ATMA,04-04-2025,Download (1.91 MB)Link
4,AGMARKNET,14-03-2014,Download (1.03 MB)Link
5,Horticulture,05-04-2014,Download (691.68 KB)Link
6,Online Pesticide Registration,23-09-2009,Download (1.25 MB)
7,Plant Quarantine Clearance,05-01-2011,Download (8.89 MB)Link
8,DBT in Agriculture,12-05-2014,Download (749.24 KB)Link
9,Pradhanmantri Krishi Sinchayee Yojana,06-05-2016,Download (244.46 KB)Link
10,Kisan Call Center,01-05-2015,Link
11,mKisan,06-05-2015,Link
12,Jaivik Kheti,18-05-2015,Download (1.24 MB)Link
13,e-Nam,04-10-2016,Download (459.07 KB)Link
14,Soil Health Card,01-09-2016,Download (1.1 MB)Link
15,Pradhan Mantri Fasal Bima Yojana,05-08-2017,Download (1.09 MB)Link
